SAP_TABLE_NAME,SAP_TABLE_DESCRIPTION
BSE_CLR,Additional Data for Document Segment: Clearing Information
BSIK,Accounting: Secondary Index for Vendors
BSIM,"Secondary Index, Documents for Material"
INOB,Link between Internal Number and Object
T001,Company Codes
TTXIT,Texts for Text IDs
VIBDCHARACT,Fixtures/Fittings
VIBDOBJASS,Object Assignment
VIBDOBJREL,Object Relationship A/U Object <-> A/U Object
ADR8,X.400 Numbers (Business Address Services)
ADRT,Communication Data Text (Business Address Services)
FIGLDOC,G/L accounting: Subsequent derivations
MARD,Storage Location Data for Material
MSEG,Document Segment: Material
MSLB,Special Stocks with Vendor
PLKZ,Task list: main header
TVZBT,Customers: Terms of Payment Texts
BD001,Business Partner: Assignment Customer - Partner
KNVS,Customer Master Shipping Data
LEIN,Storage unit header records
QPMT,Master Inspection Characteristics Texts
QMSM,Quality notification - tasks
TIVAJSPECINDX,Additional Data for Adjustment Rule INDX
VBAK,Sales Document: Header Data
BUT021,BP: Address usages
BUT050,BP relationships/role definitions: General data
DMS_LODESC_HD1,DVS: LOIO-Description of additional data (help document)
DMS_PH_CHKO_CD1,DVS: Check out data to PHIO (main originals)
KONDNS,Conditions: Free goods determination - scales
KONP,Conditions (Item)
LQUA,Quants
QPGT,Code group texts
T685T,Conditions: Types: Texts
WCOCOH,Condition Contract: Header
CUKN,Dependency Storage - Variants/Configuration
MPLA,Maintenance plan
SKAS,G/L account master (chart of accounts: key word list)
SWOR,Classification System: Keywords
VIITOPTRATE,Option Rate per Object and Period
A017,Material Info Record (Plant-Specific)
A304,Material with release status
ANEK,Document Header Asset Posting
ANEP,Asset Line Items
ANLA,Asset Master Record Segment
ANLU,Asset Master Record: User Fields
BFIT_A,FI Subsequent BA/PC Adjustment: G/L Account Items
BFOK_AB,FI subseq.BA/PC adjustmnt: Valuatn difference in vendor OIs
CRTX,Text for the Work Center or Production Resource/Tool
EKETH,Scheduling Agreement Schedules: History Tables
KAPA,Shift Parameters for Available Capacity
KBEZ,Add. data for table KBED (for indiv. capacities/splits)
PRHI,"Work Breakdown Structure, Edges (Hierarchy Pointer)"
PROJ,Project definition
TJ02T,System status texts
AEEF,ECM: effectivity
AFIH,Maintenance order header
BP1010,BP: Credit standing data
KLAH,Class Header Data
LFBW,Vendor master record (withholding tax types) X
LIPS,SD document: Delivery: Item data
CSSL,Cost Center/Activity Type
MLEA,Vendor-Specific EANs
MLGN,Material Data for Each Warehouse Number
PROW,Forecast Values
T411T,Language-dependent texts for T411: Task list usages
BSAD,Accounting: Secondary Index for Customers (Cleared Items)
BSBW,Document Valuation Fields
BSEGC,Document: Data on Payment Card Payments
CEPCT,Texts for Profit Center Master Data
MEAN,International Article Numbers (EANs) for Material
T000,Clients
T001W,Plants/Branches
TOAHR,Container table for HR administration level
ADRCOMC,Comm. Data Serial Number Counter (Business Address Services)
ADRG,Assignment of Addresses to Other Address Groups (BAS)
ADRP,Persons (Business Address Services)
BC001,Business Partner: Assign Vendor - Partner
KSML,Characteristics of a Class
MBEWH,Material Valuation: History
PLKO,Task list - header
PLMK,Inspection plan characteristics
POEXT,Enhancement Fields for Purchase Order
SEPA_MANDATE,SEPA Mandate
TVKO,Organizational Unit: Sales Organizations
DRAD,Document-Object Link
T052,Terms of Payment
VBAP,Sales Document: Item Data
VBFA,Sales Document Flow
VBKD,Sales Document: Business Data
BUT051,BP Relationship: Contact Person Relationship
DMS_LODESC_CD1,DVS: LOIO-Descirption of the main original (conv. document)
DMS_LO_CD1,DVS: LOIOS of main originals (conv. document)
DMS_PHF_CD1,DVS: PHIOS Components of main originals (conv. document)
KONDIND,General Document Index for Conditions
KONH,Conditions (Header)
KOTN010,Customer / material
PMCO,Cost structure of maintenance order
T685A,Conditions: Types: Additional Price Element Data
VISCMPPROP,Additional Characteristics of Meter
VITMTERM,Term
VICNMEASCN,Contract Measurement
A018,Material Info Record
ANEA,Asset Line Items for Proportional Values
ANLB,Depreciation terms
BFOD_AB,FI Subseq.BA/PC Adjustmnt: Valuatn Diffrnce in Customer OIs
EKAB,Release Documentation
EKBEH,Removed PO History Records
EKKO,Purchasing Document Header
KAZY,Interval of Available Capacity
AENR,Change Master
AUSP,Characteristic Values
BNKA,Bank master record
BP001,FS-Specific Attributes; Organization
BP021,Fiscal Year Information
IFLOTX,Functional Location: Short Texts
KNC1,Customer master (transaction figures)
LFC1,Vendor master (transaction figures)
TDWST,Document Status Texts
MAEX,Material Master: Legal Control
PVKT,Supply Area Short Text
STXH,STXD SAPscript text file header
T352R,Maintenance revisions
BSEG,Accounting Document Segment
