SAP_TABLE_NAME,SAP_TABLE_DESCRIPTION,sap_emb_description
BSIP,Index for Vendor Validation of Double Documents,"[-0.040152825, 0.0445492, 0.016624687, 0.033463687, -0.0027984367, -0.0072654183, -0.028626828, 0.024463264, 0.037063245, -0.033125028, -0.0007670929, 0.0049815895, 0.06907258, -0.046017416, -0.05705418, 0.0087144, -0.063110776, 0.058727637, 0.028944701, 0.0045384816, 0.055571847, -0.0037261466, -0.008436651, -0.030088698, -0.04956121, 0.021169847, -0.07390433, 0.04286382, 0.04804216, -0.010790174, 0.052874766, 0.09856716, -0.08406568, 0.019826245, 0.048868213, -0.049562413, 0.03296864, -0.030359713, 0.057821356, 0.029167682, 0.025146393, -0.0436519, -0.08111852, -0.027444553, 0.0074931784, -0.05568332, -0.030220142, 0.06154012, 0.012155687, 0.046797138, -0.06325959, 0.005063353, -0.009255033, 0.0027519243, 0.0908491, 0.04307361, -0.12947777, -0.001518726, -0.014507039, -0.03378636, 0.08635921, -0.027816905, -0.084187835, 0.0071336445, -0.02113691, 0.06107575, -0.02413587, -0.077759966, -0.07250441, -0.008818963, 0.026526485, 0.03303655, 0.01840051, 0.005233879, -0.037772894, 0.057127476, -0.06523547, -0.06250938, 0.04074643, -0.03811431, 0.0059265015, 0.021157572, 0.08312662, -0.08236842, -0.030184297, -0.067211986, 0.031655896, -0.011735347, 0.009347207, 0.021474196, 0.110027336, -0.053915374, 0.037640117, 0.005049058, 0.029189266, 0.037529033, 0.005648742, 0.09831466, 0.117507, 0.069039516, -0.043936603, -0.0703327, -0.022598255, -0.0030538342, -0.006357103, 0.0083409725, -0.005506255, -0.0914593, 0.035633903, -0.047375128, 0.014858956, 0.049369987, -0.070156716, -0.011910805, -0.041892774, 0.05352423, 0.033949777, 0.046383712, -0.0042324606, -0.041184977, -0.05808719, -0.0011380453, 0.1143265, -0.07393349, -0.0070552826, -0.05442944, 0.025104785, -2.9799913e-33, -0.024390565, 0.09125496, -0.005372274, -0.027169015, -0.06292703, 0.023696415, 0.018627523, 0.040330414, -0.086509466, -0.024997586, -0.0789518, 0.056530215, -0.043822225, -0.0033762963, -0.026070355, 0.020655222, 0.054420687, 0.13059087, 0.01897816, -0.028649457, 0.054576077, -0.07246083, 0.055761077, 0.08686567, 0.0066791996, -0.007043069, 0.0057841125, -0.06289011, 0.04889038, 0.027130958, 0.003269994, -0.0056870123, 0.09148154, -0.008095214, -0.021735806, 0.08801556, -0.053909168, 0.07362531, -0.0023367375, 0.038919497, -0.026528798, 0.02351502, 0.1230252, -0.059962515, -0.012771917, 0.016656034, -0.083765715, 0.015612655, 0.102184966, -0.061732657, -0.039696347, 0.04705918, -0.053334832, 0.07534897, 0.04499837, -0.01641036, 0.018699145, 0.052068852, 0.026605792, 0.044120364, -0.030963482, 0.0024222198, -0.03758528, -0.0038143361, -0.03529771, -0.022438722, 0.030786172, 0.0022969977, 0.0361729, -0.016026953, 0.033436008, -0.033340648, 0.027507644, -0.043126784, 0.004646448, -0.074262, 0.05482335, -0.0051170764, -0.018128717, -0.055040628, -0.14107493, 0.014688446, 0.09016592, -0.054900624, -0.008517053, 0.022124799, -0.030697782, 0.03059603, -0.029514458, 0.0107324775, -0.034539364, 0.0675358, -0.08159686, -0.12114668, 0.06737588, 1.8345962e-33, 0.02489936, -0.063310035, 0.05795849, 0.073584, -0.007884546, -0.00507997, -0.018088944, -0.047358822, -0.06136535, -0.0028786368, 0.09118625, -0.039152607, 0.024148202, -0.007078347, -0.032147184, 0.020098051, -0.07883529, -0.012928225, 0.04822622, 0.022348244, 0.050891314, -0.0018347992, 0.019196717, 0.09193716, -0.024918756, -0.03127094, 0.00815475, -0.049165867, -0.01563652, 0.05170245, 0.0048060752, -0.05861014, -0.026559167, 0.052433375, 0.057497196, -0.03110025, -0.040492337, -0.027477788, 0.012456263, 0.12079584, -0.021866258, 0.07378395, -0.103509285, 0.017992062, -0.0688413, -0.11383768, 0.025590526, -0.015474008, 0.093193755, -0.15587062, -0.0014624627, 0.041680105, 0.014431394, -0.008412012, -0.027773142, -0.042402238, -0.064463004, -0.022249317, -0.004045573, 0.07131385, 0.0848971, 0.08483882, -0.029834839, 0.057548407, 0.06996727, 0.0019752851, -0.04869711, -0.03353172, -0.05390564, -0.018919494, 0.02956827, -0.062334407, -0.042284418, -0.0074405493, 0.007389717, -0.003103034, 0.004401196, -0.03288858, 0.0109181665, 0.018129524, 0.020098342, 0.040828213, 0.034331344, 0.06980132, -0.07404946, 0.028945077, 0.07496726, 0.04598003, -0.08967513, 0.035390493, -0.035916485, 0.06587459, -0.031061292, -0.05107858, -0.013810383, -1.3922388e-08, -0.082122274, -0.012405041, -0.0322535, 0.048680395, -0.044557806, -0.071582034, -0.042608548, 0.008572537, -0.059034925, -0.07555926, 0.030975966, -0.080729395, -0.102049515, -0.025682004, 0.03787629, -0.053997997, -0.014327364, 0.08724114, -0.084188, 0.04505193, 0.051172495, 0.114401415, 0.088948905, -0.032868568, 0.05124959, 0.04549444, -0.007086117, 0.0073371655, 0.068953134, 0.03473302, 0.04653796, -0.038639136, 0.005150763, 0.0355582, 0.06258399, 0.003865572, 0.009833837, 0.075426936, -0.04342545, 0.009380373, 0.009187027, -0.0210899, 0.014044922, -0.0015856059, 0.06972542, -0.0079592, -0.04149892, -0.01332641, 0.04740455, -0.03242034, -0.051419754, -0.07854086, 0.04909735, 0.091526575, -0.06419428, -0.0247182, -0.028084338, 0.084483676, 0.066847585, -0.06589243, 0.024755072, -0.080629006, 0.009287069, -0.00672655]"
CDHDR,Change document header,"[-0.040619086, 0.17945038, 0.038660202, 0.035687126, 0.056623824, 0.05170926, -0.020462064, 0.07534501, 0.0012956575, 0.04157258, -0.09317921, 0.0105793, 0.01422165, -0.025442442, -0.0270615, -0.09991908, -0.053905506, 0.05823523, 0.02507108, 0.09163309, -0.065012544, 0.09608984, 0.0036029024, -0.022237461, 0.028007578, 0.0043130256, -0.027451558, 0.04126845, -0.07821025, -0.1088307, 0.07503027, -0.0071862317, -0.032799404, -0.009374321, 9.080666e-05, -0.026812283, 0.017395917, -0.034898642, 0.07439856, 0.02463446, -0.030915463, -0.038977843, -0.04781045, -0.005347542, -0.011579029, 0.10577547, 0.009323027, 0.027980309, 0.014029532, 0.036412742, 0.009501714, -0.06001961, -0.053522628, -0.021511216, -0.015782995, 0.06128951, 0.016342388, 0.061897546, -0.051158864, 0.0384063, -0.0654944, -0.022294652, 0.00935413, 0.004648196, 0.026908375, 0.0103866095, -0.03436134, 0.021714384, -0.069390014, 0.09929463, 0.0072887545, 0.0073776017, 0.040713422, -0.026531816, 0.06760369, -0.06227657, 0.0040481947, 0.0978435, 0.012284124, -0.024340305, -0.012811148, 0.04849051, 0.012022719, 0.017148754, 0.02036905, -0.016621036, -0.01243855, -0.025685336, -0.051138654, 0.0026486062, -0.030233324, -0.042188726, 0.06991992, 0.0024134282, -0.15343376, 0.0524726, -0.017228615, -0.031834718, 0.1152421, 0.11235683, -0.008985496, -0.03179757, 0.008122552, -0.006879754, -0.0047483314, 0.0075377445, 0.0011718083, 0.043663185, -0.041256715, -0.06374285, 0.036476746, -0.048873004, -0.100044295, -0.084542684, -0.057100732, -0.034875806, 0.022790864, -0.0262826, -0.0007147109, -0.0877238, 0.04136863, -0.033386543, -0.04512389, -0.056192484, -0.08871971, -0.04601317, 0.077398844, -2.1281254e-33, -0.020377908, -0.026234409, -0.09471331, 0.03396791, -0.013356097, 0.013159193, 0.065286115, -0.01829917, -0.06385495, 0.0024923126, 0.0878359, -0.060643367, 0.047538333, 0.042944886, -0.042983264, -0.018407855, -0.05003993, 0.013715282, 0.043828208, -0.027294438, -0.057880644, 0.0068592103, 0.018618137, -0.04481026, -0.05675311, 0.1258675, 0.026999017, -0.12184719, -0.08537899, -0.026533784, 0.040511698, 0.024923904, -0.046589244, -0.017064024, 0.0005793642, -0.008585831, -0.041264705, -0.015654843, -0.035565607, -0.0017424388, 0.024343997, 0.03571289, 0.022519773, 0.01545397, 0.025657259, 0.11383042, 0.02149659, -0.09310001, 0.042593405, -0.08427418, -0.015929116, 0.044470187, 0.06574096, 0.063675866, 0.06276794, 0.031941034, -0.094792955, 0.10591137, 0.04591745, -0.05096966, 0.10213769, 0.048437484, 0.02882424, 0.034946773, 0.03553175, 0.006688239, 0.06649329, 0.04710156, -0.0010663175, -0.04972547, 0.051345948, -0.04539224, 0.04240178, -0.0004223093, -0.00031888578, 0.014673404, 0.019740507, 0.0061007543, -0.019245869, -0.030254843, 0.0028028495, 0.085996784, 0.09413638, -0.016731089, 0.055940732, -0.030571261, 0.028599095, 0.024964925, 0.02195364, 0.027241785, 0.007959803, -0.037094537, 0.021119528, -0.028233098, 0.019414619, 1.0141744e-33, 0.075592175, -0.08465283, -0.0399225, 0.04774285, -0.058723282, 0.08849595, 0.08730613, 0.01751585, -0.0029591608, 0.0312672, 0.073440485, 0.0038159683, -0.053091288, 0.011100174, -0.0038024301, -0.02617788, -0.063537866, -0.007514868, -0.070542604, -0.00786843, -0.07594759, -0.049090464, -0.020714235, 0.017567901, 0.10151226, -0.08276054, 0.016441992, 0.0065610274, -0.019547509, -0.030262867, -0.039826345, 0.017181002, -0.051028598, 0.0845851, 0.08564591, -0.020409046, 0.009259794, 0.08398269, -0.031329736, 0.10164122, 0.0047188173, 0.06289043, 0.083711535, -0.01679671, 0.008617548, 0.03959555, 0.00665717, -0.027682705, 0.0007594047, 0.033178706, -0.0055210483, -0.02307723, 0.061642952, -0.08930894, -0.010832524, 0.054292105, 0.0113254525, -0.0062506394, -0.018199092, 0.019543765, 0.07634219, -0.002635415, 0.0035773301, 0.047538865, -0.010371883, 0.017211698, -0.1159086, -0.06959782, -0.090043865, -0.0005824869, -0.039302435, -0.09652858, 0.005631836, -0.032490764, 0.03308091, -0.04829529, 0.07404567, -0.026135923, -0.063262396, -0.028286843, 0.06765851, 0.012586595, -0.06788693, -0.063577056, 0.07698227, 0.041115396, -0.09246304, -4.0883668e-05, -0.09412738, -0.08818805, -0.03667867, 0.052643165, 0.060513478, -0.016315965, -0.08327015, -1.2641197e-08, -0.0028364633, -0.060791586, 0.041987028, -0.028129393, -0.003053169, 0.0823923, 0.0038438195, 0.045641724, -0.025708707, -0.09247883, 0.027338076, -0.0223589, 0.031518836, -0.06284514, -0.061790526, -0.003399325, -0.01761701, 0.006541812, -0.006326256, -0.08872795, -0.017468242, 0.07223494, 0.016109774, -0.010414113, -0.022097673, 0.025197756, 0.038517028, 0.02289525, 0.060222436, -0.10405887, -0.0342424, 0.07674382, -0.03702248, -0.013279101, 0.11955398, -0.020448592, 0.0093647605, 0.04198613, -0.04566718, 0.0010975827, 0.035964433, 0.076676734, -0.06163256, -0.009649075, -0.0014076356, 0.026664358, 0.040126156, 0.024878122, 0.010187918, -0.039754346, 0.036287654, 0.04295337, 0.047482643, -0.0007373704, -0.05901859, 0.0050977017, 0.073579445, -0.059866957, -0.046481863, -0.0052853688, 0.004120213, 0.03866367, 0.08822634, 0.00604545]"
TOA01,Link table 1,"[-0.007778221, -0.05693968, -0.071177974, 0.048848808, 0.0026604075, 0.09765931, 0.031281114, 0.0414327, -0.063272975, 0.0082869055, 0.052627314, -0.041833065, 0.07168395, -0.009371612, -0.13616835, 0.092527136, -0.05614248, 0.035896473, -0.035872664, 0.0357519, -0.025577147, -0.024216523, 0.0066345725, -0.003340112, 0.030410325, -0.045285817, 0.017158892, 0.080845155, -0.008026508, -0.135031, -0.047640298, 0.007977396, -0.0953326, -0.008359857, 0.009465208, -0.08893575, 0.054341115, -0.03058145, 0.0342643, 0.041057516, -0.004769819, -0.05627173, 0.027537497, -0.022059126, -0.016781628, 0.0472062, -0.046405915, 0.05694329, -0.03614217, 0.047674768, -0.10032424, 0.06513228, -0.002359278, -0.011314546, 0.053153962, 0.07051204, -0.10265025, -0.0043815486, -0.021637114, 0.05272129, 0.0138427885, -0.0002409934, 0.04429598, -0.04288889, 0.0536944, -0.05548788, -0.07131044, 0.019866252, -0.039102606, 0.005343953, -0.04631951, -0.018638201, -0.01959689, 0.021825595, -0.06711813, -0.03760872, -0.052098934, 0.003357467, -0.0130319595, -0.05439268, -0.04957221, 0.00944108, -0.062513106, -0.04004436, 0.0022300596, 0.039332934, 0.03571236, -0.0128281545, -0.06456623, -0.034734067, 0.081541, 0.060721572, 0.1006806, -0.03127362, -0.0050189253, 0.05201382, 0.05613105, -0.03516786, 0.01355419, 0.086345196, -0.017571898, 0.061264426, -0.040864125, 0.05879998, -0.087147176, -0.03609667, 0.04141779, 0.094804235, 0.0057121934, -0.059471473, -0.068408266, -0.008967105, -0.095253944, -0.0833241, -0.098833054, -0.010846613, -0.019288864, 0.002611307, 0.110024095, -0.056208532, 0.038380727, 0.028651988, -0.008241958, 0.037342135, -0.12652956, -0.07957733, 0.0070674047, -1.29178325e-33, 0.03617808, 0.022898762, 0.0030361353, -0.065811135, 0.08679272, -0.007289462, -0.019054305, 0.06733644, -0.04887132, 0.0063533643, -0.1130536, 0.018268352, -0.040226404, -0.03730418, -0.049946245, 0.034075234, 0.030778702, 0.037103806, -0.07782919, -0.09307083, -0.018053833, 0.07730126, 0.045634884, 0.07237852, 0.06923959, 0.061817758, 0.026047666, 0.021534877, 0.038662307, 0.0066801687, 0.041945066, 0.03787291, -0.09118468, -0.056486007, -0.0050392495, 0.0019307579, 0.0066102846, -0.0009707999, 0.013289375, 0.003162429, 0.016010994, 0.018013, 0.001432501, -0.056777947, -0.0043512336, 0.00068878883, 0.0756317, 0.010222986, -0.08126791, -0.009170669, 0.023105446, -0.022513758, -0.054918002, 0.015965337, 0.040702976, -0.03162972, -0.12320258, 0.006005979, 0.025071885, 0.06595189, 0.025305318, -0.04185884, 0.0009292168, -0.008535651, -0.046339244, 0.07972111, -0.08536816, -0.05161746, 0.08814518, -0.06236529, -0.012553159, 0.0044855094, 0.096339494, 0.017919445, -0.014425943, 0.023911852, -0.11314817, -0.0881789, -0.025848433, -0.023461644, -0.029700298, -0.014453698, -0.044352714, 0.040334973, -0.04041968, -0.041043747, -0.012955801, -0.06563566, -0.0525683, -0.009442914, 0.051790696, 0.0425051, 0.029122371, 0.0016502467, 0.08082742, -4.7688235e-34, 0.06273721, 0.09789739, 0.045642808, -0.0634834, 0.036080524, 0.03571492, 0.046726108, -0.12221616, 0.0011842736, 0.10268929, 0.020265166, -0.03511396, -0.025566349, -0.095930316, 0.009601017, 0.016994007, 0.06253727, -0.009025752, -0.096896775, 0.056230802, 0.06617816, 0.06368837, -0.04619866, 0.020810097, -0.0004310809, 0.016409855, 0.070274435, -0.019444123, 0.0382965, 0.07073279, 0.05744285, -0.027539866, 0.028791685, 0.02331726, 0.01066883, 0.07457976, 0.039012104, -0.0059924815, 0.062172405, -0.022602275, 0.09368478, -0.028304406, 0.026420606, 0.026270822, 0.078538164, -0.009556681, -0.08121225, 0.01130454, -0.071110874, -0.011062444, -0.055418424, -0.029595215, 0.0012618481, -0.13879028, 0.023927912, 0.029684255, -0.02857726, 0.048871525, -0.05584512, 0.030831475, -0.00043280583, 0.07925674, 0.021557033, 0.12034662, 0.03311533, -0.0645869, -0.0031882469, -0.0019647165, -0.030963693, 0.05246818, -0.057567928, 0.01085879, 0.04704962, -0.06104236, 0.05097404, -0.003725749, -0.061255727, 0.061217993, -0.0022391302, -0.06433287, -0.009001661, 0.022759756, 0.05316885, -0.06175894, 0.0067581353, -0.019100854, 0.109573506, 0.057239503, 0.0032458983, 0.010301611, -0.031139554, -0.066210486, -0.056249928, 0.0630136, -0.037484046, -1.2649744e-08, 0.00969713, -0.005733122, 0.00068462593, 0.021541456, 0.047135144, 0.006288513, 0.015649816, 0.12971392, -0.0057646064, 0.060793985, 0.02039304, 0.054731514, 0.0032979203, 0.022777556, -0.0028987525, 0.015156429, -0.070847265, -0.07256702, 0.03132996, -0.0026281758, 0.0086073205, 0.0064678756, -0.03219334, 0.057685144, 0.027083268, -0.07629245, -0.0888294, 0.07341905, 0.039020132, 0.025657, 0.0957459, 0.014284319, 0.004174636, 0.013846565, 0.058129184, 0.008014919, -0.024903752, 0.0031961352, -0.05668064, -0.011010389, 0.057411958, 0.020567538, -0.027947612, -0.024470571, 0.08191764, 0.022044262, -0.04983375, -0.056742497, -0.059016302, -0.059191264, -0.00994002, -0.03620581, 0.0053574927, -0.041527204, -0.026860228, 0.0642176, 0.031783998, 0.024093125, 0.014621227, -0.014936612, 0.04856873, 0.053109974, -0.03702277, 0.0636948]"
VIBDINFRA,Infrastructure,"[0.00697069, 0.02622691, -0.008817527, -0.018479334, 0.0100050345, -0.056664225, 0.023771841, -0.01170436, -0.03340782, 0.0021613722, -0.023384009, -0.028318008, 0.00485458, 0.07189349, -0.04006898, -0.030055294, -0.010269489, -0.08145779, -0.043897506, -0.02984326, 0.016105738, -0.0032088885, -0.062405743, -0.05599932, 0.025556512, 0.07075089, 0.0027250608, 0.0025738638, -0.008275696, -0.076230906, -0.04601542, -0.045542445, -0.043197587, -0.029896548, 0.005672375, 0.08293388, 0.08895355, -0.042248428, 0.039298363, -0.042113695, 0.0012713671, -0.13080084, -0.042635385, 0.02198589, 0.0060728462, 0.019321578, 0.049840827, -0.041215796, 0.029868832, -0.0563334, -0.014963827, -0.03124829, -0.025370944, 0.040365882, -0.011088132, -0.044808973, 0.008383446, 0.01467985, 0.022887915, -0.01754676, 0.08047731, -0.037003435, -0.0677641, 0.050640248, 0.10052568, 0.0426293, 0.009128161, 0.0828225, -0.058388453, -0.0624397, 0.056902926, -0.058090877, 0.028628733, -0.011489626, 0.1028621, -0.007838248, -0.018273156, 0.024820078, 0.11305402, -0.074832514, 0.08252821, 0.0025191093, -0.061033368, 0.08152138, -0.0034587553, -0.011632339, -0.025953095, 0.008732627, -0.00067144417, -0.020257095, -0.041296247, -0.020626541, 0.08193331, 0.02861114, -0.029923713, -0.020312633, -0.0137341535, -0.109546326, -0.00057571195, 0.22691637, 0.012170941, 0.0328589, 0.07103989, 0.017288655, -0.028957458, 0.014156956, -0.12539493, 0.062156707, 0.04657356, -0.02887851, -0.023711799, 0.015314011, -0.085530736, 0.025172055, 0.0025962915, -0.015196413, 0.0073816925, 0.0032956726, 0.05088476, -0.022673016, -0.025300289, -0.02324938, -0.055250317, -0.049838986, 0.025581812, -0.033665843, 0.009905287, -6.25626e-33, -0.077520326, -0.011830193, -0.0002519624, 0.050972037, 0.02533167, -0.015737053, -0.022335378, 0.009105096, -0.025593195, 0.009796874, -0.026835566, 0.13403074, 0.0055512586, 0.06166774, 0.18154857, -0.061985824, 0.02713334, 0.042599924, 0.08691135, 0.07800854, -0.0057574892, -0.086899735, 0.054003216, -0.000570337, 0.13722105, -0.09312488, -0.0020029608, -0.029080538, 0.05094857, 0.014942169, -0.023310564, 0.05497886, 0.06480784, 0.0031096325, -0.021308882, 0.027634086, -0.024160398, -0.0856338, 0.005316068, -0.02055191, -0.0061063366, 0.012013793, -0.015375768, 0.021053597, 0.01923125, 0.03088795, 0.049102966, 0.033742618, -0.029486246, 0.011310858, 0.0016940761, 0.05552106, -0.05978589, -0.029707586, 0.08454041, 0.0048365667, -0.012709114, 0.04210717, 0.018086383, 0.027484966, -0.0323702, 0.0052893125, -0.055848666, 0.04609796, 0.04997945, 0.017436558, 0.023267783, 0.039260916, 0.06531577, 0.0034553376, -0.07180325, -0.035888165, 0.018495463, 0.058665235, -0.028837318, 0.020278156, -0.111844614, 0.044531614, -0.065707006, 0.046820097, -0.08844382, 0.0062184604, -0.018130688, 0.06007966, 0.10282791, 0.034892157, 0.030868566, -0.082046725, -0.027894601, 0.021332232, -0.10064636, 0.013279223, 0.0375685, 0.064327694, -0.03145654, 4.21676e-33, -0.025253128, 0.05013893, -0.050170742, 0.0931653, -6.733818e-05, -0.03765422, 0.029892042, -0.10037025, 0.025690794, 0.08611491, -0.062439628, -0.020198565, 0.07515405, 0.009490387, -0.012239664, -0.06973965, 0.027971799, -0.07708977, -0.058796126, 0.011946957, -0.02321194, 0.009294173, -0.0075387596, -0.035867963, -0.039443374, 0.06621938, -0.10495071, -0.098153174, -0.022287106, 0.033376317, -0.09361978, -0.012935646, 0.0142831355, 0.038085297, -0.057221077, 0.12938148, 0.056300674, -0.01599913, -0.009521857, -0.018319648, 0.070618, -0.00054267904, -0.009782155, 0.08325244, -0.05770524, -0.038163517, -0.031078544, 0.03314926, -0.042753875, -0.051382326, 0.0073538995, 0.071408994, -0.00017448197, -0.02894811, -0.0077628447, 0.035107143, 0.048314415, 0.06996206, -0.026048336, 0.013444745, 0.039548073, -0.011801247, -0.08534596, 0.13426755, 0.030207757, -0.019243453, 0.026630854, -0.0949286, -0.05104186, 0.0064617232, 0.073074825, 0.016540809, -0.10093539, 0.0118142385, -0.06351446, -0.016061138, -0.05698228, 0.018034128, -0.014246375, 0.016417889, 0.011797742, -0.0068523074, -0.049917653, 0.04129182, 0.044615548, -0.023611438, 0.0988664, -0.09706866, 0.03834603, -0.02674972, -0.07928188, -0.006605547, -0.08778283, 0.012720549, 0.007911933, -1.24119985e-08, -0.026025262, 0.033629645, -0.058891073, -0.026495611, -0.050131716, -0.008110912, 0.041592628, 0.0397108, 0.027661573, 0.021230368, -0.012726945, 0.011683653, 0.0068547577, 0.06139314, -0.004270024, 0.045523647, -0.035409637, 0.014292871, -0.09745268, -0.016090848, 0.037150513, 0.021652598, -0.020367647, 0.05948987, 0.047171004, -0.042436264, 0.031087715, 0.015288324, 0.014581287, 0.031020936, -0.006443654, -0.027943484, -0.00423238, -0.007658955, 0.029557535, 0.033643384, 0.004886215, 0.009544213, 0.0751571, -0.05517258, -0.074815795, -0.04322557, -0.0015319107, -0.020194346, 0.02580729, 0.0017948729, -0.1278048, 0.086091734, -0.02071962, -0.05072463, -0.031230018, -0.015519582, 0.039123245, 0.029896172, 0.08800317, -0.025172882, 0.03561128, -0.0245751, -0.021846343, 0.10943149, 0.046105593, 0.035614416, 0.108027585, -0.048240937]"
ADR12,FTP and URL (Business Address Services),"[-0.0007563168, -0.013080988, 0.001799077, 0.034714732, -0.0755547, 0.011767142, -0.03191113, 0.0034424604, 0.049755514, -0.13229004, -0.06370918, 0.08964499, -0.0048412583, 0.04257499, -0.006668369, -0.013549732, -0.016634326, 0.020976102, 0.053750668, 0.07347268, 0.002345781, 0.03479985, -0.07505438, -0.040352367, -0.041723076, -0.06874255, 0.025517328, 0.05114674, -0.006774276, -0.038346734, 0.04948948, -0.032201145, 0.0074139507, -0.026501868, 0.034585103, -0.0302359, 0.07216495, 0.027489603, 0.017443728, 0.040851977, -0.0057380465, -0.118637756, 0.027736697, 0.015027872, -0.02944451, 0.01245239, 0.02530074, 0.06262827, 0.009832861, -0.024749637, -0.06356533, 0.040974602, -0.02018472, 0.06787089, -0.0058593135, -0.060134396, -0.019340647, 0.024906997, -0.04792974, -0.055995382, 0.010296929, -0.06356025, 0.00057804014, 0.011353372, 0.030412259, 0.026234543, -0.052105263, 0.0070562386, -0.023551637, -0.04924457, -0.09321729, -0.012670018, -0.11440886, 0.05912239, 0.009665685, -0.035325278, 0.008618346, 0.07868992, -0.038249973, -0.011256811, 0.07515478, 0.0018238779, 0.013176753, -0.0014056603, -0.10374918, -0.009704676, -0.004688347, -0.0196026, -0.05531265, 0.0077516306, 0.04565283, 0.012367292, 0.013558375, -0.02843489, 0.04392984, -0.0097305635, -0.042114273, -0.10243908, -0.035776872, -0.03855786, 0.025526054, 0.017739976, -0.03039899, -0.008101259, 0.005516571, 0.018902961, 0.05109066, 0.13627484, 0.0049011875, 0.00070994283, 0.046696436, -0.13430317, -0.08474665, -0.008129573, -0.07087055, -0.041732695, -0.11215544, 0.026586449, 0.018784782, -4.4175376e-05, -0.035978664, 0.03242846, -0.040925797, -0.06137153, -0.09674292, -0.055633426, 0.069428325, -1.6051425e-33, -0.007143236, 0.093695186, -0.043225016, -0.04065292, -0.004852062, -0.014504368, 0.024869572, -0.006084334, -0.025213048, 0.03937571, -0.045577575, 0.010716707, 0.06588818, -0.023266464, -0.016214041, 0.034253918, 0.02593473, 0.13510804, 0.08263377, -0.048134472, -0.008312008, 0.122329235, 0.039059553, -0.02744137, 0.08122691, 0.051533446, -0.01979705, 0.10582643, 0.016438726, -0.027570987, 0.11060336, -0.01415808, 0.01123083, 0.04319197, 0.10940697, 0.04338485, 0.012216636, -0.04701465, -0.047315568, -0.11351756, -0.041763008, -0.0013585169, -0.044478673, 0.09250643, -0.013164697, 0.022321189, -0.038028236, -0.012189491, -0.014020573, 0.0075725256, 0.06819795, -0.040626355, -0.039410323, 0.08467392, 0.024661418, 0.039257724, -0.040729035, -0.057959884, -0.024065375, -0.0036500792, -0.029616605, -0.019603748, 0.013654966, -0.03283539, -0.0020389312, -0.065319866, 0.013571468, 0.013837873, 0.04844959, 0.0020458328, 0.07920822, 0.019293988, 0.12862933, 0.042065646, -0.028591162, 0.050631586, -0.08582832, 0.0440355, -0.014639934, 0.018695226, -0.037195772, -0.05476415, 0.027215997, 0.07358744, 0.0022304184, 0.03551314, 0.029047737, 0.028586162, 0.04468418, -0.027002793, 0.012860947, 0.08609781, -0.07128663, 0.047784638, 0.043657556, 1.2402216e-34, -0.0076105716, -0.051598217, 0.019237258, -0.018689133, -0.07943415, 0.024228895, 0.058507647, -0.089504205, -0.016315497, 0.02706108, 0.03206004, 0.016692065, -0.11745961, -0.113674454, -0.08822357, -0.055753134, 0.03572095, -0.026911056, -0.04427245, 0.013542576, -0.06386636, 0.024552887, 0.019445926, -0.0061173765, 0.0009910263, 0.042157147, -0.016024612, -0.07769652, -0.0036803805, 0.047260575, 0.07959455, 0.04078742, -0.026074776, 0.010575681, -0.008584271, 0.04305671, -0.06716454, 0.0780373, 0.16785364, -0.05874435, 0.00023987371, 0.055765226, -0.010922459, 0.03805787, 0.017296348, -0.07056997, -0.022722917, -0.073186554, -0.0015943624, -0.08683286, -0.041308362, 0.0063217496, -0.012693502, -0.060256694, -0.041809894, 0.081577435, 0.025632119, 0.02556693, -0.040219896, 0.074791476, 0.0960514, 0.04116601, 0.06931683, 0.096566595, 0.008356764, 0.07122821, -0.0009570344, -0.040995315, 0.015670432, 0.012598126, -0.041539777, -0.003702272, -0.0077507915, 0.012809125, -0.0112356385, -0.008831521, 0.13580443, 0.0766756, -0.054238368, 0.018746702, -0.005981405, 0.010005909, -0.06468902, 0.014870534, -0.034492344, -0.08413704, 0.020675296, -0.015343639, 0.06772079, -0.033684485, -0.08722939, 0.04567344, -0.03229501, -0.05733232, -0.0050459295, -1.65538e-08, -0.09109985, 0.106473684, -0.012351067, 0.04551262, -0.058843125, 0.03940792, -0.021248966, 0.05732512, -0.0153974695, 0.034818064, -0.015409536, -0.05369924, -0.07188214, 0.024623921, -0.03743644, 0.0017253006, 0.09251607, -0.022440825, 0.049809653, 0.015205583, 0.012096017, 0.009939408, 0.061899446, -0.047516644, 0.04522952, -0.06853428, -0.080857724, 0.006353386, 0.05909833, -0.0067913905, 0.0970307, 0.048982196, -0.05817391, 0.028486604, -0.060690355, 0.061773807, -0.04632721, -0.024726499, -0.07254517, 0.031971294, 0.0555733, 0.036535144, 0.025306592, -0.04036446, 0.061693355, -0.06378563, 0.06374214, -0.04385901, -0.04010649, 0.025204374, -0.0102378195, 0.012288675, 0.054319143, 0.010013554, 0.069814384, 0.017532958, -0.04089595, 0.0015591297, -0.06895204, 0.06405876, -0.07413922, 0.023242926, 0.02563355, 0.00911042]"
